,GAMEID,HOME_ELO,AWAY_ELO
69,20100111DENMIN,1505,1468
70,20100111PHOMIL,1493,1518
71,20100111UTAMIA,1502,1488
72,20100111GSWCLE,1504,1512
73,20100112CHAHOU,1531,1494
74,20100112WASDET,1500,1466
75,20100112MEMLAC,1516,1521
76,20100112SASLAL,1505,1513
77,20100112SACORL,1469,1485
78,20100113ATLWAS,1501,1486
79,20100113INDPHO,1499,1501
80,20100113PHINYK,1499,1511
81,20100113NJNBOS,1461,1510
82,20100113OKCSAS,1520,1512
83,20100113DALLAL,1511,1506
84,20100113HOUMIN,1488,1462
85,20100113DENORL,1511,1498
86,20100113PORMIL,1482,1510
87,20100113GSWMIA,1492,1481
88,20100114BOSCHI,1522,1495
89,20100114UTACLE,1509,1525
90,20100115CHASAS,1537,1525
91,20100115PHISAC,1487,1457
92,20100115ATLPHO,1508,1494
93,20100115CHIWAS,1508,1479
94,20100115MEMMIN,1523,1456
95,20100115NJNIND,1450,1506
96,20100115NYKTOR,1524,1504
97,20100115DALOKC,1498,1507
98,20100115HOUMIA,1494,1494
99,20100115GSWMIL,1479,1502
100,20100115LALLAC,1519,1514
101,20100115PORORL,1490,1491
102,20100116CHAPHO,1544,1487
103,20100116WASSAC,1473,1451
104,20100116DETNYK,1480,1510
105,20100116MEMSAS,1529,1519
106,20100116OKCMIA,1499,1507
107,20100116UTAMIL,1516,1514
108,20100116LACCLE,1507,1517
109,20100117TORDAL,1518,1505
110,20100117DENUTA,1518,1524
111,20100118NYKDET,1502,1488
112,20100118WASPOR,1480,1497
113,20100118ATLOKC,1514,1507
114,20100118CHASAC,1550,1444
115,20100118HOUMIL,1481,1507
116,20100118LACNJN,1494,1438
117,20100118MINPHI,1450,1493
118,20100118GSWCHI,1466,1515
119,20100118MEMPHO,1536,1481
120,20100118BOSDAL,1508,1499
121,20100118LALORL,1526,1484
122,20100119CLETOR,1530,1524
123,20100119MIAIND,1500,1518
124,20100120ATLSAC,1501,1439
125,20100120CHAMIA,1555,1508
126,20100120ORLIND,1478,1510
127,20100120PHIPOR,1485,1490
128,20100120WASDAL,1487,1512
129,20100120DETBOS,1481,1495
130,20100120MILTOR,1499,1517
131,20100120MINOKC,1458,1520
132,20100120PHONJN,1475,1433
133,20100120SASUTA,1512,1516
134,20100120GSWDEN,1475,1525
135,20100120LACCHI,1500,1506
136,20100121CLELAL,1537,1532
137,20100121DENLAC,1537,1507
138,20100122ORLSAC,1486,1434
139,20100122PHIDAL,1472,1524
140,20100122TORMIL,1510,1507
141,20100122WASMIA,1475,1502
142,20100122ATLCHA,1507,1561
143,20100122BOSPOR,1488,1502
144,20100122DETIND,1488,1502
145,20100122MEMOKC,1542,1531
146,20100122NYKLAL,1509,1525
147,20100122SASHOU,1499,1489
148,20100122GSWNJN,1464,1426
149,20100122PHOCHI,1481,1499
150,20100123CHAORL,1552,1491
151,20100123INDPHI,1514,1481
152,20100123CLEOKC,1544,1524
153,20100123DETPOR,1476,1495
154,20100123MIASAC,1514,1428
155,20100123HOUCHI,1502,1511
156,20100123MILMIN,1500,1447
157,20100123PHOGSW,1469,1470
158,20100123UTANJN,1529,1420
159,20100124NYKDAL,1497,1515
160,20100124WASLAC,1463,1501
161,20100124TORLAL,1517,1537
162,20100125PHIIND,1495,1501
163,20100125BOSLAC,1495,1513
164,20100125MIACLE,1519,1550
165,20100125MEMORL,1548,1506
166,20100125HOUATL,1490,1516
167,20100125SASCHI,1486,1524
168,20100125DENCHA,1543,1538
169,20100125UTAPHO,1534,1476
170,20100126WASLAL,1451,1529
171,20100126NYKMIN,1484,1441
172,20100126DALMIL,1527,1505
173,20100126PHOCHA,1470,1531
174,20100126SACGSW,1423,1463
175,20100127CLEMIN,1562,1435
176,20100127INDLAL,1513,1540
177,20100127TORMIA,1525,1507
178,20100127DETMEM,1464,1555
179,20100127NJNLAC,1416,1505
180,20100127MILPHI,1499,1482
181,20100127OKCCHI,1517,1536
182,20100127HOUDEN,1478,1550
183,20100127SASATL,1474,1528
184,20100127PORUTA,1507,1539
185,20100128NYKTOR,1491,1531
186,20100128ORLBOS,1500,1503
187,20100128PHODAL,1459,1534
188,20100129INDCLE,1501,1567
189,20100129PHILAL,1475,1552
190,20100129ATLBOS,1519,1496
191,20100129DETMIA,1453,1500
192,20100129MINLAC,1431,1495
193,20100129NJNWAS,1425,1441
194,20100129OKCDEN,1505,1561
195,20100129HOUPOR,1467,1495
196,20100129SASMEM,1483,1565
197,20100129UTASAC,1551,1431
198,20100129GSWCHA,1454,1542
199,20100130ORLATL,1507,1526
200,20100130WASNYK,1453,1479
201,20100130MILMIA,1506,1512
202,20100130DALPOR,1525,1487
203,20100130SACCHA,1427,1552
204,20100131SASDEN,1492,1552
205,20100131BOSLAL,1489,1563
206,20100131CLELAC,1578,1486
207,20100131DETORL,1442,1515
208,20100131NJNPHI,1413,1465
209,20100131TORIND,1543,1490
210,20100131HOUPHO,1475,1469
211,20100131MINNYK,1440,1471
212,20100131OKCGSW,1514,1444
213,20100201WASBOS,1461,1478
214,20100201MIAMIL,1504,1513
215,20100201MEMLAL,1555,1574
216,20100201DENSAC,1563,1417
217,20100201UTADAL,1556,1511
218,20100201PORCHA,1501,1561
219,20100202CLEMEM,1583,1563
220,20100202INDTOR,1484,1549
221,20100202ORLMIL,1525,1525
222,20100202NJNDET,1401,1431
223,20100202CHILAC,1548,1481
224,20100202OKCATL,1519,1518
225,20100202HOUGSW,1462,1439
226,20100203ATLLAC,1511,1496
227,20100203PHICHI,1476,1533
228,20100203TORNJN,1540,1389
229,20100203NYKWAS,1463,1449
230,20100203BOSMIA,1491,1492
231,20100203DALGSW,1505,1432
232,20100203UTAPOR,1562,1510
233,20100203SACSAS,1413,1481
234,20100203DENPHO,1567,1481
235,20100203LALCHA,1566,1553
236,20100204CLEMIA,1589,1484
237,20100204PORSAS,1504,1492
238,20100205INDDET,1493,1443
239,20100205ORLWAS,1533,1442
240,20100205BOSNJN,1498,1386
241,20100205NYKMIL,1470,1518
242,20100205ATLCHI,1518,1525
243,20100205MEMHOU,1556,1469
244,20100205DALMIN,1510,1448
245,20100205SACPHO,1402,1496
246,20100205LALDEN,1573,1552
247,20100206CLENYK,1594,1458
248,20100206DETNJN,1437,1381
249,20100206CHIMIA,1517,1480
250,20100206MINMEM,1462,1541
251,20100206HOUPHI,1483,1485
252,20100206MILIND,1530,1499
253,20100206UTADEN,1568,1566
254,20100206PORLAL,1511,1559
255,20100206GSWOKC,1427,1526
256,20100206LACSAS,1489,1485
257,20100207TORSAC,1544,1392
258,20100207BOSORL,1503,1518
259,20100208GSWDAL,1417,1496
260,20100208LALSAS,1571,1498
261,20100209CHAWAS,1546,1457
262,20100209CLENJN,1598,1375
263,20100209INDCHI,1493,1524
264,20100209PHIMIN,1498,1472
265,20100209MIAHOU,1473,1471
266,20100209NYKSAC,1454,1388
267,20100209MEMATL,1532,1525
268,20100209MILDET,1536,1443
269,20100209DENDAL,1559,1507
270,20100209POROKC,1499,1536
271,20100209LACUTA,1476,1575
272,20100210ATLMIA,1538,1481
273,20100210TORPHI,1548,1504
274,20100210DETSAC,1458,1403
275,20100210NJNMIL,1373,1521
276,20100210CHIORL,1536,1530
277,20100210MINCHA,1465,1551
278,20100210PHOPOR,1507,1487
279,20100210UTALAL,1585,1576
280,20100210GSWLAC,1406,1466
281,20100211CLEORL,1601,1543
282,20100211DENSAS,1564,1493
283,20100216CHANJN,1561,1364
284,20100216PHIMIA,1498,1495
285,20100216DETMIN,1444,1455
286,20100216CHINYK,1523,1440
287,20100216MEMPHO,1519,1493
288,20100216OKCDAL,1548,1501
289,20100216HOUUTA,1464,1572
290,20100216PORLAC,1501,1457
291,20100216SACBOS,1417,1490
292,20100216LALGSW,1589,1415
293,20100217INDSAS,1481,1507
294,20100217ORLDET,1537,1451
295,20100217TORMEM,1554,1506
296,20100217WASMIN,1452,1447
297,20100217NJNMIA,1381,1508
298,20100217NYKCHI,1435,1528
299,20100217MILHOU,1530,1454
300,20100217DALPHO,1495,1507
301,20100217GSWSAC,1411,1406
302,20100217LACATL,1451,1524
303,20100218CLEDEN,1607,1550
304,20100218LALBOS,1593,1501
305,20100219CHACLE,1544,1592
306,20100219PHISAS,1485,1519
307,20100219WASDEN,1459,1564
308,20100219DETMIL,1446,1515
309,20100219MEMMIA,1520,1517
310,20100219MINCHI,1440,1538
311,20100219NJNTOR,1372,1540
312,20100219ORLDAL,1542,1502
313,20100219PHOATL,1499,1535
314,20100219GSWUTA,1418,1582
315,20100219PORBOS,1507,1516
316,20100220TORWAS,1548,1469
317,20100220NYKOKC,1424,1554
318,20100220CHIPHI,1548,1493
319,20100220DALMIA,1516,1530
320,20100220HOUIND,1468,1469
321,20100220MILCHA,1526,1553
322,20100220LACSAC,1440,1399
323,20100221ORLCLE,1529,1584
324,20100221DENBOS,1554,1528
325,20100221DETSAS,1435,1511
326,20100221NJNMEM,1364,1507
327,20100221MINOKC,1430,1563
328,20100221GSWATL,1410,1526
329,20100221PHOSAC,1507,1393
330,20100221PORUTA,1494,1590
331,20100222WASCHI,1464,1554
332,20100222NYKMIL,1415,1534
333,20100222DALIND,1524,1482
334,20100222UTAATL,1600,1516
335,20100222LACCHA,1447,1545
336,20100223BOSNYK,1522,1406
337,20100223MIAMIN,1522,1421
338,20100223NJNPOR,1355,1484
339,20100223MEMLAL,1516,1578
340,20100223OKCPHO,1572,1512
341,20100223SACDET,1389,1445
342,20100223GSWPHI,1421,1487
343,20100224ATLMIN,1531,1436
344,20100224TORPOR,1553,1493
345,20100224WASMEM,1473,1504
346,20100224CHIIND,1544,1475
347,20100224HOUORL,1456,1537
348,20100224SASOKC,1502,1558
349,20100224DALLAL,1530,1589
350,20100224PHOPHI,1526,1498
351,20100224UTACHA,1585,1535
352,20100224LACDET,1456,1456
353,20100225INDMIL,1470,1543
354,20100225BOSCLE,1526,1575
355,20100225GSWDEN,1410,1560
356,20100226ATLDAL,1536,1539
357,20100226TORCLE,1539,1587
358,20100226WASNYK,1461,1401
359,20100226CHIPOR,1550,1508
360,20100226MEMCHA,1516,1529
361,20100226OKCMIN,1549,1432
362,20100226HOUSAS,1445,1511
363,20100226DENDET,1569,1449
364,20100226PHOLAC,1533,1464
365,20100226SACUTA,1377,1591
366,20100226LALPHI,1580,1492
367,20100227BOSNJN,1515,1346
368,20100227MIAMIL,1507,1554
369,20100227INDCHI,1459,1556
370,20100227NYKMEM,1416,1504
371,20100227MINPOR,1427,1502
372,20100227UTAHOU,1578,1454
373,20100227GSWDET,1401,1444
374,20100228SASPHO,1502,1538
375,20100228LALDEN,1585,1573
376,20100228ATLMIL,1523,1566
377,20100228NJNWAS,1362,1447
378,20100228OKCTOR,1554,1527
379,20100228ORLMIA,1548,1496
380,20100228SACLAC,1390,1458
381,20100301CHADAL,1541,1551
382,20100301CLENYK,1598,1405
383,20100301PHIORL,1487,1554
384,20100301CHIATL,1546,1531
385,20100301MEMPOR,1514,1512
386,20100301HOUTOR,1450,1521
387,20100301PHODEN,1530,1567
388,20100301LACUTA,1449,1582
389,20100302DETBOS,1436,1498
390,20100302MIAGSW,1490,1410
391,20100302OKCSAC,1560,1400
392,20100302LALIND,1592,1469
393,20100303ATLPHI,1545,1476
394,20100303ORLGSW,1565,1404
395,20100303BOSCHA,1510,1529
396,20100303NJNCLE,1352,1601
397,20100303NYKDET,1402,1425
398,20100303MILWAS,1557,1458
399,20100303DALMIN,1564,1416
400,20100303HOUSAC,1459,1396
401,20100303DENOKC,1558,1564
402,20100303PORIND,1525,1465
403,20100303LACPHO,1460,1538
404,20100304CHIMEM,1533,1501
405,20100304MIALAL,1495,1596
406,20100304PHOUTA,1549,1571
407,20100305CHALAL,1521,1586
408,20100305CLEDET,1607,1417
409,20100305PHIBOS,1470,1517
410,20100305TORNYK,1511,1410
411,20100305WASMIL,1453,1562
412,20100305ATLGSW,1550,1401
413,20100305NJNORL,1346,1568
414,20100305DALSAC,1568,1410
415,20100305DENIND,1566,1459
416,20100305LACOKC,1449,1557
417,20100306CHAGSW,1530,1397
418,20100306MIAATL,1505,1554
419,20100306NYKNJN,1405,1339
420,20100306CHIDAL,1519,1571
421,20100306MEMSAS,1515,1510
422,20100306MINHOU,1412,1445
423,20100306MILCLE,1572,1610
424,20100306PHOIND,1537,1454
425,20100306UTALAC,1583,1440
426,20100307TORPHI,1516,1459
427,20100307ORLLAL,1575,1577
428,20100307DETHOU,1414,1457
429,20100307BOSWAS,1529,1443
430,20100307SACOKC,1407,1566
431,20100307DENPOR,1570,1531
432,20100308CLESAS,1602,1523
433,20100308NYKATL,1391,1545
434,20100308MEMNJN,1502,1354
435,20100308MINDAL,1401,1583
436,20100309CHAMIA,1534,1513
437,20100309INDPHI,1449,1473
438,20100309ORLLAC,1582,1436
439,20100309WASHOU,1438,1448
440,20100309CHIUTA,1508,1587
441,20100309MILBOS,1580,1534
442,20100309PORSAC,1525,1398
443,20100309LALTOR,1570,1502
444,20100310PHICHA,1465,1541
445,20100310BOSMEM,1528,1506
446,20100310DETUTA,1422,1598
447,20100310MIALAC,1507,1432
448,20100310MINDEN,1393,1577
449,20100310DALNJN,1590,1350
450,20100310SASNYK,1518,1402
451,20100310SACTOR,1394,1496
452,20100311WASATL,1425,1534
453,20100311ORLCHI,1586,1497
454,20100311GSWPOR,1393,1529
455,20100312CHALAC,1552,1426
456,20100312PHICLE,1455,1607
457,20100312BOSIND,1514,1457
458,20100312MIACHI,1512,1492
459,20100312DETWAS,1414,1416
460,20100312MEMNYK,1519,1398
461,20100312MINSAS,1385,1522
462,20100312OKCNJN,1575,1347
463,20100312MILUTA,1586,1606
464,20100312PHOLAL,1542,1575
465,20100312SACPOR,1404,1538
466,20100313ATLDET,1544,1422
467,20100313WASORL,1408,1591
468,20100313MEMDEN,1524,1584
469,20100313DALNYK,1593,1393
470,20100313HOUNJN,1461,1345
471,20100313SASLAC,1531,1422
472,20100313GSWTOR,1384,1486
473,20100314MILIND,1594,1451
474,20100314CLEBOS,1616,1520
475,20100314MIAPHI,1519,1446
476,20100314ORLCHA,1599,1556
477,20100314OKCUTA,1577,1598
478,20100314PORTOR,1547,1476
479,20100314SACMIN,1395,1376
480,20100315PHINYK,1441,1410
481,20100315BOSDET,1515,1417
482,20100315HOUDEN,1465,1595
483,20100315UTAWAS,1590,1401
484,20100315GSWLAL,1394,1587
485,20100316INDCHA,1447,1570
486,20100316DETCLE,1412,1621
487,20100316MIASAS,1524,1536
488,20100316NJNATL,1340,1548
489,20100316MEMCHI,1513,1485
490,20100316DENWAS,1584,1398
491,20100316PHOMIN,1530,1370
492,20100316SACLAL,1402,1595
493,20100317CHAOKC,1559,1585
494,20100317CLEIND,1628,1458
495,20100317PHINJN,1427,1333
496,20100317TORATL,1471,1555
497,20100317BOSNYK,1520,1424
498,20100317ORLSAS,1585,1548
499,20100317DALCHI,1576,1479
500,20100317HOUMEM,1476,1519
501,20100317UTAMIN,1593,1366
502,20100317LACMIL,1417,1598
503,20100318MIAORL,1512,1591
504,20100319INDDET,1454,1405
505,20100319TOROKC,1480,1577
506,20100319ATLCHA,1545,1567
507,20100319NYKPHI,1419,1432
508,20100319CHICLE,1474,1631
509,20100319HOUBOS,1484,1525
510,20100319SASGSW,1542,1386
511,20100319PHOUTA,1534,1596
512,20100319PORWAS,1552,1394
513,20100319SACMIL,1394,1585
514,20100319LALMIN,1602,1363
515,20100320PHICHI,1424,1466
516,20100320MIACHA,1501,1559
517,20100320NJNTOR,1328,1470
518,20100320MEMGSW,1511,1383
519,20100320DALBOS,1581,1537
520,20100320DENMIL,1588,1593
521,20100321NYKHOU,1427,1473
522,20100321INDOKC,1460,1587
523,20100321LACSAC,1430,1387
524,20100321CLEDET,1640,1400
525,20100321ATLSAS,1553,1546
526,20100321LALWAS,1605,1391
527,20100321PHOPOR,1542,1556
528,20100322PHIORL,1413,1602
529,20100322NJNMIA,1319,1510
530,20100322CHIHOU,1477,1484
531,20100322MILATL,1606,1560
532,20100322MINTOR,1361,1479
533,20100322OKCSAS,1576,1539
534,20100322UTABOS,1587,1551
535,20100322SACMEM,1401,1515
536,20100322GSWPHO,1378,1550
537,20100323WASCHA,1388,1550
538,20100323DETIND,1397,1471
539,20100323NYKDEN,1415,1575
540,20100323DALLAC,1567,1416
541,20100324ATLORL,1554,1609
542,20100324BOSDEN,1544,1563
543,20100324CHAMIN,1559,1351
544,20100324INDWAS,1482,1380
545,20100324TORUTA,1489,1593
546,20100324NJNSAC,1312,1391
547,20100324MILPHI,1612,1405
548,20100324OKCHOU,1563,1477
549,20100324SASLAL,1552,1607
550,20100324GSWMEM,1370,1524
551,20100325CHIMIA,1485,1517
552,20100325HOULAC,1472,1412
553,20100325PORDAL,1548,1571
554,20100326CHAWAS,1562,1375
555,20100326INDUTA,1487,1603
556,20100326ORLMIN,1600,1348
557,20100326PHIATL,1422,1563
558,20100326TORDEN,1479,1556
559,20100326BOSSAC,1552,1382
560,20100326NJNDET,1321,1386
561,20100326OKCLAL,1568,1619
562,20100326MILMIA,1595,1529
563,20100326SASCLE,1541,1642
564,20100326PHONYK,1558,1427
565,20100327WASUTA,1372,1593
566,20100327CHINJN,1473,1330
567,20100327HOULAL,1457,1610
568,20100327GSWDAL,1382,1563
569,20100328CLESAC,1632,1378
570,20100328MILMEM,1580,1513
571,20100328ATLIND,1552,1497
572,20100328DETCHI,1377,1477
573,20100328MIATOR,1544,1468
574,20100328ORLDEN,1603,1566
575,20100328MINPHO,1346,1562
576,20100328OKCPOR,1576,1556
577,20100328BOSSAS,1556,1551
578,20100328LACGSW,1426,1374
579,20100329CHATOR,1565,1463
580,20100329NJNSAS,1326,1564
581,20100329DALDEN,1571,1560
582,20100329UTANYK,1599,1423
583,20100330INDSAC,1491,1376
584,20100330PHIOKC,1434,1563
585,20100330CHIPHO,1487,1569
586,20100330MILLAC,1586,1412
587,20100330HOUWAS,1449,1365
588,20100331ATLLAL,1557,1619
589,20100331CHAPHI,1550,1424
590,20100331CLEMIL,1634,1589
591,20100331TORLAC,1478,1409
592,20100331BOSOKC,1543,1572
593,20100331DETMIA,1367,1549
594,20100331NJNPHO,1340,1579
595,20100331MEMDAL,1507,1578
596,20100331MINSAC,1339,1372
597,20100331SASHOU,1550,1454
598,20100331PORNYK,1570,1419
599,20100331UTAGSW,1603,1388
600,20100401DALORL,1588,1609
601,20100401DENPOR,1553,1573
602,20100402CHAMIL,1554,1583
603,20100402INDMIA,1496,1557
604,20100402WASCHI,1360,1476
605,20100402BOSHOU,1531,1449
606,20100402CLEATL,1640,1566
607,20100402DETPHO,1360,1586
608,20100402SASORL,1555,1621
609,20100402GSWNYK,1386,1415
610,20100402LALUTA,1610,1606
611,20100403PHITOR,1420,1483
612,20100403ATLDET,1561,1353
613,20100403CHICHA,1486,1562
614,20100403MINMIA,1347,1568
615,20100403DALOKC,1576,1584
616,20100403MILPHO,1575,1592
617,20100403DENLAC,1561,1403
618,20100403SACPOR,1363,1566
619,20100404BOSCLE,1516,1646
620,20100404LALSAS,1617,1564
621,20100404INDHOU,1485,1464
622,20100404ORLMEM,1612,1497
623,20100404TORGSW,1495,1394
624,20100404WASNJN,1350,1334
625,20100404OKCMIN,1597,1341
626,20100404LACNYK,1400,1407
627,20100406CHAATL,1553,1564
628,20100406CLETOR,1635,1479
629,20100406PHIDET,1409,1350
630,20100406WASGSW,1357,1409
631,20100406NYKBOS,1420,1527
632,20100406CHIMIL,1495,1583
633,20100406MEMHOU,1492,1457
634,20100406UTAOKC,1599,1599
635,20100406SACSAS,1356,1578
636,20100407INDNYK,1491,1430
637,20100407ORLWAS,1617,1366
638,20100407TORBOS,1476,1517
639,20100407DETATL,1364,1556
640,20100407MIAPHI,1575,1395
641,20100407HOUUTA,1471,1606
642,20100407MILNJN,1593,1327
643,20100407MINGSW,1338,1400
644,20100407OKCDEN,1592,1565
645,20100407DALMEM,1564,1478
646,20100407LACPOR,1387,1573
647,20100407PHOSAS,1585,1585
648,20100408CHICLE,1485,1639
649,20100408SACLAC,1350,1379
650,20100408DENLAL,1578,1603
651,20100409ORLNYK,1619,1425
652,20100409PHIMIL,1391,1595
653,20100409ATLTOR,1544,1464
654,20100409BOSWAS,1528,1363
655,20100409CLEIND,1627,1497
656,20100409MIADET,1578,1377
657,20100409MINLAL,1327,1595
658,20100409NJNCHI,1325,1496
659,20100409OKCPHO,1578,1592
660,20100409HOUCHA,1482,1560
661,20100409SASMEM,1578,1473
662,20100409PORDAL,1580,1569
663,20100410CHADET,1551,1394
664,20100410INDNJN,1513,1337
665,20100410WASATL,1380,1549
666,20100410MEMPHI,1489,1384
667,20100410MILBOS,1602,1512
668,20100410DENSAS,1586,1562
669,20100410SACDAL,1358,1582
670,20100410LACGSW,1371,1411
671,20100411CLEORL,1611,1622
672,20100411LALPOR,1600,1567
673,20100411NYKMIA,1421,1561
674,20100411TORCHI,1459,1484
675,20100411GSWOKC,1403,1586
676,20100411PHOHOU,1584,1491
677,20100412INDORL,1516,1635
678,20100412PHIMIA,1400,1570
679,20100412DETTOR,1390,1447
680,20100412NJNCHA,1334,1554
681,20100412NYKWAS,1413,1372
682,20100412MILATL,1587,1557
683,20100412SASMIN,1576,1322
684,20100412DENMEM,1572,1473
685,20100412POROKC,1581,1574
686,20100412SACHOU,1351,1486
687,20100412LACDAL,1380,1588
688,20100413CHIBOS,1496,1527
689,20100413GSWUTA,1415,1595
690,20100413LALSAC,1587,1342
691,20100413PHODEN,1589,1577
692,20100414ATLCLE,1571,1599
693,20100414BOSMIL,1519,1574
694,20100414CHACHI,1561,1504
695,20100414DALSAS,1595,1578
696,20100414MIANJN,1578,1327
697,20100414MINDET,1320,1379
698,20100414OKCMEM,1567,1468
699,20100414ORLPHI,1644,1392
700,20100414TORNYK,1458,1419
701,20100414WASIND,1366,1507
702,20100414LACLAL,1373,1589
703,20100414PORGSW,1588,1408
704,20100414UTAPHO,1603,1596
705,20101026BOSMIA,1507,1580
706,20101026PORPHO,1571,1609
707,20101026LALHOU,1576,1495
708,20101027CLEBOS,1591,1517
709,20101027TORNYK,1464,1413
710,20101027PHIMIA,1389,1571
711,20101027NJNDET,1325,1390
712,20101027OKCCHI,1571,1519
713,20101027MINSAC,1308,1340
714,20101027MEMATL,1464,1579
715,20101027SASIND,1571,1496
716,20101027DALCHA,1602,1547
717,20101027DENUTA,1570,1590
718,20101027LACPOR,1386,1579
719,20101027GSWHOU,1424,1490
720,20101028ORLWAS,1647,1377
721,20101028UTAPHO,1582,1601
722,20101029CHAIND,1541,1490
723,20101029TORCLE,1450,1596
724,20101029PHIATL,1382,1588
725,20101029NJNSAC,1334,1352
726,20101029BOSNYK,1511,1427
727,20101029DETOKC,1381,1577
728,20101029MIAORL,1579,1649
729,20101029MINMIL,1296,1585
730,20101029DALMEM,1608,1454
731,20101029GSWLAC,1433,1379
732,20101029PHOLAL,1613,1581
733,20101030ATLWAS,1595,1375
734,20101030NYKPOR,1422,1587
735,20101030CLESAC,1585,1344
736,20101030INDPHI,1504,1375
737,20101030MEMMIN,1470,1311
738,20101030CHIDET,1513,1374
739,20101030HOUDEN,1481,1578
740,20101030MILCHA,1570,1527
741,20101031NJNMIA,1341,1588
742,20101031LACDAL,1373,1592
743,20101031OKCUTA,1585,1570
744,20101031LALGSW,1595,1439
745,20101101CHIPOR,1517,1595
746,20101101SACTOR,1362,1461
747,20101101LACSAS,1366,1577
748,20101102CLEATL,1567,1598
749,20101102WASPHI,1372,1370
750,20101102DETBOS,1370,1516
751,20101102MIAMIN,1594,1308
752,20101102MILPOR,1576,1586
753,20101102LALMEM,1598,1474
754,20101103ATLDET,1610,1361
755,20101103NJNCHA,1335,1521
756,20101103ORLMIN,1639,1306
757,20101103PHIIND,1363,1509
758,20101103BOSMIL,1525,1564
759,20101103DENDAL,1588,1598
760,20101103UTATOR,1583,1451
761,20101103PHOSAS,1599,1584
762,20101103GSWMEM,1435,1470
763,20101103LACOKC,1359,1571
764,20101103SACLAL,1372,1603
765,20101104CHINYK,1526,1413
766,20101104POROKC,1598,1558
767,20101105INDMIL,1497,1555
768,20101105ORLNJN,1641,1328
769,20101105PHICLE,1374,1555
770,20101105DETCHA,1359,1528
771,20101105NYKWAS,1429,1379
772,20101105BOSCHI,1533,1511
773,20101105MINATL,1304,1612
774,20101105PHOMEM,1586,1462
775,20101105DENLAC,1576,1372
776,20101105GSWUTA,1444,1587
777,20101105LALTOR,1609,1447
778,20101106CHAORL,1516,1643
779,20101106WASCLE,1373,1563
780,20101106MIANJN,1596,1326
781,20101106SASHOU,1597,1471
782,20101106DALDEN,1611,1579
783,20101106UTALAC,1576,1369
784,20101106PORTOR,1584,1443
785,20101106SACMEM,1365,1457
786,20101107NYKPHI,1435,1367
787,20101107ATLPHO,1617,1591
788,20101107DETGSW,1371,1455
789,20101107HOUMIN,1467,1300
790,20101107OKCBOS,1572,1540
791,20101107LALPOR,1613,1588
792,20101108CHASAS,1507,1601
793,20101108ORLATL,1652,1603
794,20101108TORGSW,1439,1445
795,20101108CHIDEN,1504,1592
796,20101108MEMPHO,1467,1604
797,20101108DALBOS,1597,1554
798,20101109INDDEN,1486,1583
799,20101109NJNCLE,1324,1571
800,20101109MIAUTA,1598,1579
801,20101109MILNYK,1567,1420
802,20101109PORDET,1582,1380
803,20101109LALMIN,1619,1296
804,20101110ATLMIL,1597,1570
